W% BaO,W% CaO,W% MgO,W% PbO,W% SrO,W% ZnO,W% GeO2,W% SiO2,W% TeO2,W% TiO2,W% ZrO2,W% WO3,W% K2O,W% Li2O,W% Na2O,W% Al2O3,W% B2O3,W% Bi2O3,W% P2O5,TG
0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.268913269043,0.0,0.0,0.0,0.0,0.0,0.0,17.6054077148438,0.0,14.125675201416,0.0,0.0,581.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.9057235717773,0.0,0.0,0.0,0.0,0.0,0.0,17.4702033996582,0.0,19.6240692138672,0.0,0.0,583.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.8513565063477,0.0,0.0,0.0,0.0,0.0,0.0,17.1411056518555,0.0,33.0075416564941,0.0,0.0,551.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.9266357421875,0.0,0.0,0.0,0.0,0.0,0.0,17.7246723175049,0.0,13.3486919403076,0.0,0.0,570.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.4813537597656,0.0,0.0,0.0,0.0,0.0,0.0,18.1759605407715,0.0,11.3426885604858,0.0,0.0,569.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.2618255615234,0.0,0.0,0.0,0.0,0.0,0.0,18.4025096893311,0.0,10.3356599807739,0.0,0.0,557.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8265075683594,0.0,0.0,0.0,0.0,0.0,0.0,18.987850189209,0.0,7.18564653396606,0.0,0.0,534.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.7973976135254,0.0,0.0,0.0,0.0,0.0,0.0,18.4979305267334,0.0,27.7046718597412,0.0,0.0,565.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.9561080932617,0.0,0.0,0.0,0.0,0.0,0.0,19.3299236297607,0.0,5.71396636962891,0.0,0.0,525.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.8371315002441,0.0,0.0,0.0,0.0,0.0,0.0,18.9154109954834,0.0,21.2474555969238,0.0,0.0,574.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.6539459228516,0.0,0.0,0.0,0.0,0.0,0.0,19.7932758331299,0.0,3.55278348922729,0.0,0.0,504.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.80078125,0.0,0.0,0.0,0.0,0.0,0.0,19.8744697570801,0.0,22.3247547149658,0.0,0.0,573.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.7718734741211,0.0,0.0,0.0,0.0,0.0,0.0,20.8300189971924,0.0,23.3981113433838,0.0,0.0,566.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.8627471923828,0.0,0.0,0.0,0.0,0.0,0.0,21.2711544036865,0.0,16.8660945892334,0.0,0.0,565.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.7423934936523,0.0,0.0,0.0,0.0,0.0,0.0,22.2568035125732,0.0,25.0008010864258,0.0,0.0,550.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.7362480163574,0.0,0.0,0.0,0.0,0.0,0.0,22.7306652069092,0.0,25.5330848693848,0.0,0.0,552.0
